ranking_title,year,running_time,rating,imdb_score,vote,metascore,plot
161. Hachi: A Dog's Tale,2009,1h 33m,G,IMDb rating: 8.1, (312K),,
162. The Prince of Egypt,1998,1h 39m,PG,IMDb rating: 7.2, (147K),64,
163. The Waltons,1972–1981,,TV-G,IMDb rating: 7.6, (9.1K),,
164. Annie,1982,2h 7m,PG,IMDb rating: 6.6, (50K),39,
165. Bewitched,1964–1972,,TV-G,IMDb rating: 7.6, (24K),,
166. Coraline,2009,1h 40m,PG,IMDb rating: 7.7, (264K),80,
167. A Bug's Life,1998,1h 35m,G,IMDb rating: 7.2, (315K),78,
168. Fantastic Mr. Fox,2009,1h 27m,PG,IMDb rating: 7.9, (271K),83,
169. Beauty and the Beast,1991,1h 24m,G,IMDb rating: 8.0, (480K),95,
170. Aladdin,1992,1h 30m,G,IMDb rating: 8.0, (467K),86,
171. The Ten Commandments,1956,3h 40m,G,IMDb rating: 7.9, (78K),,
172. Ben 10,2005–2008,,TV-Y7-FV,IMDb rating: 7.5, (28K),,
173. Descendants,2015,1h 52m,TV-G,IMDb rating: 6.3, (25K),,
174. Despicable Me,2010,1h 35m,PG,IMDb rating: 7.6, (585K),72,
175. My Three Sons,1960–1972,,TV-G,IMDb rating: 7.1, (4.5K),,
176. Father of the Bride,1991,1h 45m,PG,IMDb rating: 6.6, (84K),51,
177. Mary Poppins,1964,2h 19m,G,IMDb rating: 7.8, (186K),88,
178. Ice Age,2002,1h 21m,PG,IMDb rating: 7.5, (520K),61,
179. My Fair Lady,1964,2h 50m,G,IMDb rating: 7.7, (102K),95,
180. Madagascar,2005,1h 26m,PG,IMDb rating: 6.9, (438K),57,
181. Field of Dreams,1989,1h 47m,PG,IMDb rating: 7.5, (128K),57,
182. Jurassic World: Camp Cretaceous,2020–2022,,TV-PG,IMDb rating: 7.5, (11K),,
183. Happy Days,1974–1984,,TV-G,IMDb rating: 7.4, (21K),,
184. Big Hero 6,2014,1h 42m,PG,IMDb rating: 7.8, (503K),74,
185. 7th Heaven,1996–2007,,TV-G,IMDb rating: 5.3, (27K),,
186. Turning Red,2022,1h 40m,PG,IMDb rating: 7.0, (153K),83,
187. Where Hope Grows,2014,1h 35m,PG-13,IMDb rating: 6.6, (3.9K),41,
188. Alvin and the Chipmunks,2007,1h 32m,PG,IMDb rating: 5.2, (95K),39,
189. The Amazing World of Gumball,2011–2019,,TV-Y7-FV,IMDb rating: 8.3, (41K),,
190. The Princess and the Frog,2009,1h 37m,G,IMDb rating: 7.2, (167K),73,
191. Night at the Museum,2006,1h 48m,PG,IMDb rating: 6.5, (378K),48,
192. Saved by the Bell,1989–1992,,TV-PG,IMDb rating: 7.1, (38K),,
193. Who Framed Roger Rabbit,1988,1h 44m,PG,IMDb rating: 7.7, (217K),83,
194. Matilda: The Musical,2022,1h 57m,PG,IMDb rating: 7.0, (28K),72,
195. Raising Hope,2010–2014,,TV-PG,IMDb rating: 8.1, (41K),,
196. The Wonder Years,1988–1993,,TV-PG,IMDb rating: 8.4, (41K),,
197. Phineas and Ferb,2007–2024,,TV-G,IMDb rating: 8.1, (57K),,
198. Ronja the Robber's Daughter,2024–,,TV-14,IMDb rating: 6.5, (1.6K),,
199. Tarzan,1999,1h 28m,G,IMDb rating: 7.3, (248K),80,
200. Tomorrowland,2015,2h 10m,PG,IMDb rating: 6.4, (191K),60,
