Park Unit,Total Recreation Visits,Total Visitor Spending ($2022),Jobs,Economic Output ($2022)
"Canyonlands NPa,b",779147,"$101,464,000",1319,"$123,758,000"
Cape Cod NSa,3968672,"$548,247,000",6683,"$750,304,000"
"Cape Hatteras NSa,b",2862844,"$644,568,000",10272,"$864,609,000"
Cape Krusenstern NM,17403,"$28,727,000",403,"$42,990,000"
Cape Lookout NS,541533,"$26,773,000",343,"$29,648,000"
"Capitol Reef NPa,b",1227608,"$105,561,000",1462,"$121,297,000"
Capulin Volcano NMa,88541,"$3,029,000",38,"$3,160,000"
Carl Sandburg Home NHS,79123,"$5,225,000",73,"$6,912,000"
Carlsbad Caverns NP,390932,"$28,452,000",353,"$31,166,000"
Carter G. Woodson Home NHSc,0,$0,0,$0
Casa Grande Ruins NM,78557,"$5,187,000",71,"$8,017,000"
Castillo De San Marcos NM,624841,"$41,259,000",592,"$58,786,000"
Castle Clinton NM,3471661,"$99,259,000",976,"$125,214,000"
"Catoctin Mountain Pa,b",450322,"$13,455,000",147,"$16,460,000"
Cedar Breaks NM,688644,"$50,025,000",653,"$62,189,000"
Cesar E. Chavez NM,11585,"$765,000",9,"$1,118,000"
Chaco Culture NHP,41594,"$2,525,000",33,"$3,152,000"
Chamizal NMEMc,17673,"$1,167,000",17,"$1,515,000"
Channel Islands NP,323245,"$21,775,000",258,"$31,853,000"
Charles Pinckney NHS,12585,"$831,000",11,"$1,080,000"
Charles Young Buffalo Soldiers NM,3518,"$232,000",3,"$323,000"
Chattahoochee River NRA,3537848,"$176,660,000",2372,"$259,566,000"
Chesapeake & Ohio Canal NHP,4286185,"$90,738,000",1177,"$139,746,000"
Chickamauga & Chattanooga NMP,964272,"$63,644,000",905,"$81,396,000"
Chickasaw NRAa,1455530,"$27,957,000",258,"$23,493,000"
Chiricahua NM,61377,"$4,063,000",49,"$4,374,000"
Christiansted NHS,96587,"$6,378,000",65,"$8,221,000"
City Of Rocks NRES,83996,"$5,546,000",73,"$6,596,000"
Clara Barton NHSc,673,"$45,000",1,"$66,000"
Colonial NHPa,2762273,"$303,110,000",4509,"$407,623,000"
Colorado NM,480442,"$34,055,000",438,"$42,518,000"
Congaree NPa,204522,"$11,831,000",138,"$14,224,000"
Coronado NMEM,131359,"$8,674,000",114,"$11,384,000"
Cowpens NB,212534,"$15,469,000",213,"$22,503,000"
Crater Lake NP,527259,"$51,208,000",728,"$74,757,000"
Craters Of The Moon NM&PRESa,237774,"$9,362,000",124,"$11,017,000"
"Cumberland Gap NHPa,b",732916,"$23,245,000",284,"$25,237,000"
Cumberland Island NS,64387,"$3,091,000",41,"$4,085,000"
Curecanti NRA,992749,"$49,301,000",556,"$57,818,000"
Cuyahoga Valley NPa,2913312,"$55,996,000",778,"$86,244,000"
Dayton Aviation Heritage NHPa,81303,"$5,362,000",85,"$8,857,000"
De Soto NMEM,173150,"$11,433,000",163,"$17,195,000"
Death Valley NP,1128862,"$104,819,000",1228,"$139,299,000"
Delaware Water Gap NRAa,4380225,"$167,208,000",2329,"$266,010,000"
Denali NP&PRES,427562,"$474,887,000",6641,"$713,505,000"
Devils Postpile NM,144453,"$10,514,000",127,"$13,127,000"
Devils Tower NM,480713,"$34,868,000",459,"$45,382,000"
Dinosaur NM,351019,"$23,829,000",270,"$27,064,000"
Dry Tortugas NP,78488,"$5,403,000",58,"$6,123,000"
Dwight D. Eisenhower MEM,760603,"$16,208,000",203,"$24,844,000"
Edgar Allan Poe NHSc,10726,"$708,000",10,"$1,123,000"
Effigy Mounds NMa,56422,"$4,053,000",61,"$5,230,000"
Eisenhower NHS,22250,"$1,469,000",18,"$2,149,000"
El Malpais NM,162755,"$10,747,000",153,"$14,402,000"
